WONUM,TASKDESC,TASKDESC - CATEGORY,WOC.TEXTS
3285,ASQ2 HOTEL ZONE HEX-5 TCV-1120E FAULTY (PRIMARY VALVE),I&C,"TEAM YBY- DURING ROUTINE CHECK FOR INTAKE STATION OF ASQ2 HOTEL DISCOVERED THE PRIMARY VALVE FOR HEX-5 OPERATING WITH ABNORMAL NOISE. 

07/12/2017 -AUNG/MMK/MS-WE CHECK THE TCV IS RUNNING NORMAL ,WE STROKE CHECK FROM DCIS AND HAND OVER TO OPERATION."
3287,DCP2 POTABLE WATER PIPE LEAKING AT THE ELBOW (ABOVE DEC-3),MECH,"TEAM YBY - WATER LEAKAGE AT ELBOW PIPE OF POTABLE WATER SYSTEM ABOVE DEC-3. 

4/12/2017 - MECHANICAL TEAM REPLACE THE ABOVE MENTION PORTABLE WATER PIPE FITTING.

5/12/2017 - MECHANICAL TEAM TURN ON BACK MAIN PORTABLE WATER VALVE AT B5 AND TEST FOR LEAK."
3288,DCP1 - CT GROUP-2 FAN DECK LIGHTS CANNOT BE ON,FACILITY,"03/12/2017 - RAK&KML - LIGHTS FOR CT GROUP 2 FAN DECK NOT WORKING. BREAKER SERVING FOR CT-G2 LIGHTS IN L4 ELECTRICAL ROOM IS IN ""ON"" POSITION.
             G2 BASIN LEVEL AND GROUND LEVEL LIGHTS IS WORKING..

05/12/2017 - JSY&GSR - CHECK SWITCHED AT COOLING TOWER LVL 4. NO LIGHTS LIGHTED UP. 
                      - CHECKED FOR ANY TRIPPED BREAKER. FOUND NO BREAKER TRIPPED. 
                      - CALLED OPERATOR TO SIMULATE POWER ON REMOTELY - LIGHTS LIGHTED UP AFTER SWITCH IS BEING TURN ON.
                      - FOUND 5 NUMBERS OF LIGHT FITTINGS NOT LIGHTED UP. 

06/12/2017 - JSY&GSR - TROUBLESHOOT LIGHT FITTINGS. 
                      - FOUND BALLAST FAULTY.
                      - TEST RUN WITH OPERATIONS.
                      - TEST COMPLETED AND HAND OVER BACK TO OPERATIONS."
3289,DCP1 CONCRETE KERB INSTALLATION WORK,FACILITY,"04/12/2017 - Dai Dan start up work for ICT 1 & 2 kerb and drainage work.

05/12/2017 - Works continue. 

06/12/2017 - Start up work for BCDP-2 pump stool area. Putting up kerb boundary.

07/12/2017 - Work continue for BCDP-2 area. Painting work for ICT1 & ICT2 continue.

08/12/2017 - Start up work for 22Kv cable chamber room. Putting up kerb boundary for 22Kv area. 
             Start painting work for BCDP-2 pump.

09/12/2017 - Works continue for 22Kv chamber room.

11/12/2017 - Works continue for 22Kv chamber room. Painting work start.

12/12/2017 - Works continue for BCDP-2 addtional drainage sytem. Continue works on all area.

15/12/2017 - Drainage system completed. 

16/12/2017 - All area completed.

20/12/2017 - Minor work for defect kerb area near IT2 wall."
3290,DCP2 CONCRETE KERB INSTALLATION WORK,FACILITY,"30/12/2017 - Dai Dan start up work for Level1 concrete kerb work.

01/12/2017 - Work continue.

02/12/2017 - Work continue.

04/12/2017 - Work continue, painting job for finish kerb. To be painted black and yellow.

05/12/2017 - Painting work completed.

06/12/2017 - Painting drying work.

07/12/2017 - Water test for leak on kerb.

08/12/2017 - Water test continue till Monday morning.

11/12/2017 - Water test completed. No more leaking on wall boundary to Level 1 walkway. Area back to normal."
3291,RDDM- CHILLED WATER PIPE CONDENSATION,OPERATIONS,"08/12/2017 - RDDM - CHILLED WATER PIPE CONDENSATION

04/04/2018 - FERH INTERNATIONAL PTE LTD DID A MOCK UP INSULATION ON THE PRIMARY SIDE FROM BRANCH PIPE TO HEX ELBOW.
   TO 
13/04/2018"
3292,DCP-2 ITP-4-2 OUTLET PRESSURE PT-1306D-1 DRIFT,I&C,"08/01/2018 - TEAM TKL - DCP-2 ITP 4-2 OUTLET PRESSURE TRANSMITTER PT-1306D-1 SHOWS HIGH PRESSURE 

10/01/2018 - MMK -I CHECK THE PT ZERO WAS OUT ,SET THE ZERO NOW THAT REATING BACK TO NORMAL."
3293,DCP 2 HEAT PUMP 3 & 4 OIL LEAKING,MECH,"TEAM SBS - HEAT PUMP 3 & 4 OIL LEAKAGE DURING ROUTINE CHECK. 

MSR : 9/12/2017 : TOGETHER WITH DB STAFF CHECKED FOR LEAKS. 
                  HP3: CLEARED OIL FULL IN BOTTLE AND CLEANED UP AREA. LOCATED 1 LEAKS FROM PRESSURE TRANSDUCER ON THE OIL COOLER LINE. TO BE REPLACED. TO BE OBSERVED TILL ASD OF HP2 ON 18/12/2017
                  HP4: CLEARED OIL FULL IN BOTTLE AND CLEANED UP AREA. LEAKS FOUND NEAR OIL LINE WHICH HAS BEEN RECTIFIED. TO BE OBSERVED TILL ASD ON 18/12/2017

2/01/2018 : HP3 LEAKS RECTIFIED. HP 4 LEAKS TO BE ADDRESSED DURING ASD.

17/05/2018 : HP4 OIL LEAK IS ADDRESSED DURING ASD COMPLETED ON 04/05/2018"
3296,DCP-1 REFRIGERANT EXHAUST SYSTEM EF-15 TRIP FAULT,ELEC,"TEAM AZ - REFRIGERANT EXHAUST SYSTEM FAN EF-15 TRIP WHILST IN OPERATION. 

VETRI - CHECKED & FOUND THE CONTACTOR JAM AND CAUSE SPARK WHEN CLOSING. WAITING FOR SPARE.

18/12/2017 - DCP 1 - ELECT TEAM - CHECK MOTOR WINDING ALL 3 PHASE BALANCE IN OMHS. HOWEVER,DURING START-UP FOUND MOTOR AMP HIGH.POSSIBLE DUE THE MOTOR BEARINGS WEAR
                                  EXHAUST FAN MOTOR NEED TO BE OVERHAUL. PROLONG RUNNING MAY DAMAGE THE MOTOR STATOR COIL WINDING. CONTINUE MONITORING STATUS.

07/03/2018 - DCP 1 - ELECT TEAM - AFTER RUNNING FOR MONTHS AND MONITORED MOTOR TEMPERATUE, FOUND THE EXHAUST FAN IS RUNNING IN STABLE CONDITION. 
                                  INFORM OPS TO PUT BACK EXHAUST FAN IN OPERATION MODE. OK."
3297,DCP-2 DSP-7 VSD DRIVE WARNING ALARM,ELEC,"TEAM AZAM - DSP-7 DRIVE WARNING ALARM. CHECKED ON SITE THE VSD INDICATE FILTER ALARM.

18/12/2017 - VETRI / JEFRI - REPLACE THE FILTER & RUN BACK THE DRIVE. NOW BACK TO NORMAL..."
3298,DCP2 POTABLE WATER SUPPLY PIPE PIN HOLE LEAKING (INSIDE HEAT PUMP ROOM.),MECH,"date 19.dec.2017 SBS TEAM DCP2 POTABLE WATER SUPPLY PIPE PIN HOLE LEAKING (INSIDE HEAT PUMP ROOM.)

20/12/2017 - MECHANICAL CARRY OUT REPAIR ON THE ABOVE MENTION LEAKING PIPE USING PIPE CLAMP TO STOP THE LEAK.
             THEREAFTER, TURN ON BACK THE MAIN SUPPLY VALVE AND HAND OVER BACK TO OPERATION."
3299,P2/CT 7 OUTLET VALVE ( XV- 250G-1 ) UNABLE TO OPEN (PosD OPEN ALARM ),I&C,"20.12.2017......TEAM AZ....P2 / CT 7 OUTLET VALVE ( 250G-1 )UNABLE OPEN ( PosD OPEN ALARM ) WHEN CT STARTING.
                           TRY TO OPEN MANUARLY BUT STILL SAME. INFORMED TO SL AND OOS TO OUTLET VALVE.
                           HAND OVER TO MORNNING SHIFT.

20/12/2017  MS/MMK - WE FOUND THAT XV YOKE PIN WAS BROKEN .WE REMOVED THE BROKEN PIN AND REPLACED,AFTER REPLACED WE STROKE CHECK FROM DCIS AND HAND OVER TO OPERATION ."
3300,"P2 / AC-1 ( BLT,COUP INSPECTION) ALARM AND NOT CUT IN",MECH,"20.12.2017.......TEAM AZ....P2 / AC-1 ALARM ( BLT, COUP; INSPECTION ) AND NOT CUT IN.
                 INFORMED TO SL AND HANDOVER TO MORNNING SHIFT.

20/12/2017 - MECHANICAL CHECK THE ABOVE MENTION AIR COMPRESSOR V-BELT FOUND NO WEAR AND TEAR.
             RE-SET V-BELT MAINTENANCE RUNNING HOUR AND RUN BACK THE AIR COMPRESSOR. THEREAFTER 
             HAND BACK TO OPERATION."
3301,DCP-2 B5  FCU-B5-9 UNABLE TO RUN FROM DCIS,I&C,"22/12/2017 TKL - KML  DCP-2 B5 FCU B5-9 UNABLE TO RUN FROM DCIS BUT LOCALLY CAN RUN FROM CONTROL PANEL.
28/12/2017 AZ- REPLACE 24VDC RELAY TESTED OK. NOW BACK TO NORMAL."
3303,DCP-1 WC-5 CHILLED WATER BYPASS VALVE (XV-123D) LEAK,I&C,"TEAM TKL - DURING ROUTINE PATROL FOUND WC-5 CHW BYPASS (XV-123D) VALVE LEAKING.

27/12/2017 - MECHANICAL TEAM TEMPORARY SEAL THE CORROSION PART ON THE GEAR BOX.WHILE WAITING TO PURCHASE A NEW REPLACEMENT XV VALVE. NO LEAKS SEEN FOR NOW.

02/04/2018 - REPLACEMENT OF THE ABOVE MENTION VALVE AWARD TO DAIDAN. WAITING FOR NEW VALVE TO BE DELIVERY.

05/06/2018 - LAST CHECK WITH CONTRACTOR NAME DAIDAN ADVISE END OF JUNE 2018 THE VALVE WILL BE DELIVERY. 

07/07/2018 - MECHANICAL TEAM WILL RECOVER CHILLED WATER FOR DAIDAN TO REPLACED THE NEW BY-PASS VALVE.
             I&C AND MECHANICAL SECTION  TEST XV-123D BYPASS VALVE UPON COMPLETION  AND HAND OVER BACK OPERATION. 

09/07/2018 - MECHANICAL - CONTRACTOR DAIDAN WILL RE-INSULATE THE REPLACEMENT VALVE BODY WITH PU INSULATION FINISH WITH GI JACKETING."
3304,DCP-1  DB -DC-B2  RCCB -1 ( Y )  30mA TRIP @ B2,ELEC,"26/12/2017--- YBY TEAM ---DCP-1  DB -DC-B2  RCCB -1 ( Y )  30mA TRIP @ B2 AND UNABLE TO RESET. HENCE, SOME LIGHTING ARE BLACK OUT ARUOND DSP PUMP'S AREA.


27/12/2017    ELEC TEAM   TEST LIGHT SWITCH FOR DB-B2-Y2. RCCB AND MCB TRIP. 
                          OPENED TWO LIGHT FITTINGS. RCCB AND MCB STILL TRIP.

28/12/2017    ELEC TEAM   OPENED FOUR SETS OF LIGHT FITTING. FOUND ONE SET OF LIGHT FITTING FAULTY.
                          ISOLATED INCOMING SUPPLY OF FAULTY LIGHT FITTING. TESTED THE LIGHT SWITCHES.
                          LIGHT ARE LIGHTED UP AS PER NORMAL."
3305,DCP-1/ LV-MCC-1&2 FSS PANEL SHOWED ALARM ON DCIS,ELEC,"27/12/2017 - TEAM AZAM -  DCP-1/ LV-MCC-1&2 FIRE SUPPRESSION SYSTEM PANEL SHOWED AND ACTIVATED ALARM ON DCIS 


ACTION TAKEN - CHECK ON SITE AND FOUND THAT NO FAULT LIGHT ON LVMCC-1 

             - LVMCC-2 ACTIVATED FAULT LIGHT AND 2 CYLINDERS ARE LOW PRESSURE


03/01/2018 - DCP 1 - ELECT TEAM - CHECKED AND FOUND INDICATOR SHOWN ZERO, MEANT THERE ARE GAS LEAKED AND GAS CYLINDER IS EMPTY.
                          WILL ARRANGE A SHUTDOWN SOON TO REPAIR LEAKING TUBE AND REFILL GAS. WILL UPDATE FOR FURTHER ACTION.

14/03/2018 - DCP 1 - ELECT TEAM - CONTRACTOR(QUICKSTART) TO REPLACE GAS CYLINDERS & REPLACE FAULTY TUBINGS, PRESSURIZED & MONITOR FOR 2 HRS,
                                  NO MORE GAS LEAKING FOUND. CHECKED OK AND ALARM NORMALIZED."
3306,DCP1 MAINTENANCE PLATFORM WORK,TASK,"28/12/2017- Location : B1 pipe shaft maintenance platform.
            work continue for B1 pipe shaft.

29/12/2017- work continue for B1 pipe shaft.

30/12/2017- Job completed for B1 pipe shaft platform installation & LvMcc rm. (Duty cover by Malek)"
3306,DCP1 MAINTENANCE PLATFORM WORK,TASK,"02/01/2018- Location : P1 Level 4 CT17 Platform extension.
            DaiDan start preparation work at level 4 CT17 water basin extension platform.
            Scaffolding Erection for Level 4 maintenance platform work start.

06/01/2018- Dai Dan continue work at B1 pipe shaft.
            Dismantle scaffolding from Level 4.

08/01/2018- Work completed."
3306,DCP1 MAINTENANCE PLATFORM WORK,TASK,"22/12/2017- Location : LV MCC3 & 4
            Dai Dan start work Ladder installation in LV MCC 3&4. Removing Old ladder.

23/12/2017- Work continue. Installing new Ladder.

26/12/2017- Work continue. Ladder install. secure. Dai Dan procced to B1 pipe shaft preparation equipment.

27/12/2017- Work completed for LVMCC 3&4. Ladder platform install. left touch up work."
3307,DCP-1 COOLING TOWER GRP 2 FAN DECK LIGHT CONTROL SWITCH FAULTY,FACILITY,"30/12/2017 TEAM AZ- DURING ROUTINE COOLING TOWER AREA INSPECTION AT DCP-1 FOUND OUT THAT THE CT GRP-2 FAN DECK LIGHT CONTROL SWITCH UNABLE TO BE SWITCHED ON.
                    CHECK THE CORRESPONDING DB-DC-4 AND BREAKER DID NOT FIND ANY TRIP OR ABNORMALITIES.  


02/01/2018 JSY      WENT TO CHECK SWITCH AT COOLING TOWER LEVEL 4. ASKED SHEIKH FOR ASSISTANCE. OPERATION SWITCHED CONTROLLER FROM AUTO TO MAMUAL MODE IN DCIS. 
                    TURNED ON THE SWTICH FOR GRP-2 FAN DECK. LIGHTS TURNED ON. DCIS ALSO INDICATED THAT THE LIGHTS ARE ON. OPERATION TURNED BACK FROM MANUAL MODE
                    TO AUTO MODE. HAND OVER BACK TO OPERATION."
3308,DCP-2 SCADA NEW  WEATHER STATION PARAMETER IS NOT FUNCTIONING,I&C,"02/01/2018-- SBS TEAM -- DCP 2 SCADA NEW WEATHER STATION PARAMETER IS NOT FUNCTIONING.

17/01/2018 - MMK / AZMIL - WE CHECK ON SITE AND FOUND THAT SENSOR TERMINATION LOOSE,
                           THEN WE TIGTHEN BACK.NOW BACK NORMAL OPERATION. TO OBSERVE.

18/01/18 - MMK / AZM / CHIA - FAULT COME BACK."
3309,DCP2 - PORTABLE PIPE LEAKING AT B-5 NEAR IT-5,FACILITY,"02/01/18 - WATER DRIPPING FROM PORTABLE PIPE AT IT-5 AREA BESIDES CHILL WATER RETURN PIPE CR-35E-1.
           VALVE IS ISOLATED AT HOT WATER TANK.

03/01/2018 - MECHANICAL TEAM WILL REPLACED THE LEAKING AS MENTION ABOVE."
3310,GBB R(10) PRI SUPPLY TEMP. SENSOR ( R10-TE-1110-BTU)  VALUE IS OUT,I&C,"03/01/2018-- YBY TEAM -- GBB R(10) PRI SUPPLY TEMP. SENSOR ( R10-TE-1110-BTU)  VALUE IS OUT. 

04/01/2018-- I&C -- Replaced defective RTD (TE-1100-BTU) , system normalized.
New RTD
P/N:EJ8187
S/N:EP101102
S-Length:510mm"
3311,P2 CT-1  DAMPER ( DM_250A_2 )  POSD_CLOSE ERROR ALARM IN DCIS,I&C,"04/01/2018-- SBS TEAM--P2 CT-1 DAMPER( DM_250A_2 )  POSD_CLOSE ERROR ALARM IN DCIS.CHECK ON SITE ALL DAMPER ARE CLOSE BUT ALARM PRESIST IN SCADA.

11/01/2018- WE FOUND THAT THE DAMPER MOTOR WAS NOT CLOSED PROPERLY. WE MANUALLY OPENED AND CLOSED IT. STOKE CHECK WAS DONE FROM DCIS. BACK TO NORMAL AND HANDED BACK TO OPERATION"
3312,DCP-2 CASINO HOT WATER SENSOR R7-TE-9130 DOES NOT TALLY WITH BTU READING,I&C,"05/01/2018 TEAM AZ - CASINO HOT WATER RETURN R7-TE-9130 READING (19.7 degC) DOES NOT TALLY WITH BTU READING (55.42 degC)

05/01/2018 - MMK / SHANKAR - REPLACED A NEW SENSOR,NOW BACK TO NORMAL OPERATION."
3313,DCP-2 EDG ONE OF  BATTERY CELL BATTERY WATER WAS LESS THEN MINIMUM LEVEL,ELEC,"DATE 05/01/18 SBS TEAM  DCP2 EDG ONE OF  BATTERY CELL BATTERY WATER WAS LESS THEN MINIMUM LEVEL

08/01/2018 - DCP 2 - ELECT TEAM - BATTERY REPLACEMENT IS UNDER PROCUREMENT PROCESS AND WILL REPLACE IT AFTER NEW STOCK ARRIVAL.
                                  AS FOR NOW WILL TOP UP BATTERY WATER. WILL PROPOSE TO REPLACE NEW BATTERIES.

28/11/2018 - DCP 2 - ELECT TEAM - REPLACED ALL NEW BATTERIES FOR EDG STARTER, EDG CONTROL PANEL & OIL PUMP ROOM CONTROL PANEL."
3313,DCP-2 EDG ONE OF  BATTERY CELL BATTERY WATER WAS LESS THEN MINIMUM LEVEL,ELEC,Date 05/01/18 SBS TEAM   DCP2 EDG ONE OF  BATTERY CELL BATTERY WATER WAS LESS THEN MINIMUM LEVEL
3314,"DCP-2 - HPP-1 UNABLE TO CUT IN, ELECTRICAL TRIP.",MECH,"09/01/18 - DCP-2 - HPP-1 UNABLE TO CUT IN,ELECTRICAL TRIP. ON-SITE VSD PANEL SHOWING COMM.MODULE WARNING ALARM

10/01/2018 - VETRI : CHECKED & NOTICED NOTHING ABNORMAL WITH THE DRIVE. BUT IT SHOWS ""COMM MODULE"" ALARM. 
                     RUN BACK IN LOCAL MODE WITH OUT ANY PROBLEM BUT THE DCIS SHOWS ""POSD DISCRIPENCY"" 
                     SUSPECT THAT THERE MAY BE COMMUNICATION ISSUE WITH LCP PANEL / DCIS SYSTEM. 
                     ESCALATE TO I&C TEAM TO CHECK FURTHER.

12/01/2017 -CHEE VOON/SHANKAR -WE CHECK ONSITE (HP-1,MCP)IS EVERYTHING IS NORMAL,THEN WE DOWNLOAD THE HOT WATER 
            LCP CONTROLLER PROGRAME AFTER THAT BACK TO NORMAL,(THIS ISSUSE WHILE POWER DOWN THE HP-1 MCP.)"
3315,DCP-2 HP-1 MCP COOLING FAN SYSTEM FAULTY,MECH,"10/01/2018 - TEAM TKL - DCP-2 HP-1 COOLING FAN INSIDE THE MCP PANEL FAULTY. WAITING REPLACEMENT BY DB
11/01/2018 - MSR : ALREADY PURCHASED AND REPLACED THE FAULTY COOLING FAN. MCP PANEL SWITCHED ON AND NO TRIP. AWAITING OIL TEMPERATURE TO INCREASE BEFORE TEST RUN."
3316,DCP2- MAINTENANCE PLATFORM WORK,FACILITY,"09/01/2018- Work start near DSP5 area.

10/01/2018- work continue. Material preparation for cat ladder and maintenance platform.

11/01/2018- work continue. Welding work carry out for platform.

12/01/2018- Work continue. Preparation material for DEC3 extending platform work.

13/01/2018- Continue work for DSP5 area. and start work on DEC3 platform work.

15/01/2018- Maintenance platform work continue for DSP5 and DEC3 area.

16/01/2018- Maintenance platform work continue for DSP5 and DEC3 area.

17/01/2018- Maintenance platform work continue for DSP5 and DEC3 area.

24/01/2018- Material arrived for ACMV and DEC3 area maintenance platform work.

25/01/2018- Maintenance platform work continue.

26/01/2018- Scaffolding erection for ACMV platform area.

29/01/2018- Maintenance platform work continue.

01/02/2018- Maintenance platform work for ACMV area continue. Work infornt of DEC3 continue.

02/02/2018- Maintenace platform work continue.

03/02/2018- Welding and hotwork start for Maintenance Platform work.

05/02/2018- Scaffolding erection for chilled water valve platform area.

06/02/2018- work start for chilled water valve platform area.
14/02/2018

26/02/2018- Painting touch up for welding area. 

27/02/2018- Scaffolding dismantle. Plant 2 maintenance platform job completed."
3317,"DCP-2 - DEC-4  XV-1300D-2 (BYPASS VALVE) NOT FUNCTIONING, UNABLE TO OPEN",I&C,"12/01/18 - DCP-2 - DEC-4 XV-1300D-2 ( BYPASS VALVE ) NOT FUNCTIONING,UNABLE TO OPEN.

12/01/2017 - DCP-2 - CHECKED AND FOUND THAT DEC-4 XV-1300D-2 UNABLE TO OPEN DUE TO BROKEN MANUAL/REMOTE BAR.
                     BAR BROKE AT MANUAL THEREFORE DCS UNABLE TO CONTROL VALVE.
                     REPLACED BAR AND PUT TO REMOTE. STROKED A FEW TIMES WITH OPERATIONS.
                     HANDOVER TO OPERATIONS TO NORMALIZED."
3318,DCP-2 - DEC-4  XV-1300D-2 (BYPASS VALVE) MANUAL ENGAGE BAR BROKEN.,I&C,"12/01/18 - DCP-2 - DEC-4 XV-1300D-2 ( BYPASS VALVE ) MANUAL ENGAGE BROKEN DUE TO RUSTY.
13/01/18 - MSR : HANDLE HINGE FOUND BROKEN BOTH SIDES. I&C TEAM SWAP FROM ANOTHER VALVE.

22/01/2018 MSR/MOKTHER - WE REPLACED A NEW HANDLE HINGE."
3319,DCP-1 WC-3 CHW SUPPLY DIFFERENT 0.2C ( MCP & DCS),I&C,"12/01/2018..TEAM AZ....DCP 1 / WC-3 CHILLE WATER SUPPLY TEMPERATURE DIFFERENT (0.2C) BETWEEN DCS AND MCP.

15/01/2018 - AZM & MMK - DCP-1 - CHECKED AND FOUND THAT THERE IS A LOOSE WIRE CONNECTION ON THE TEMP SENSOR DUE TO VIBRATIONS.
                                 TIGHTEN AND NORMALIZED.
                                 HANDOVER TO OPERATIONS TO NORMALIZED."
3320,DCP-1 CT-16 RECEIVED DRIVE FAULT AND TRIPPED  ALARM ON DCIS,ELEC,"12/01/2018 - TEAM AZAM - DCP-1, GROUP -2 , CT-16 RECEIVED DRIVE FAULT AND DRIVE TRIPPED ALARM ON DCIS . CHECK ON SITE AND FOUND THAT CT-16 IS DRIVE TRIPPED DUE TO EARTH FAULT .

TAKEN ACTION - TRY TO REST THE DRIVE ON VSD PANEL BUT UNABLE TO RESET . TEMPORARY PUT OOS FOR CT-16 .

15/01/2018 - ELECT TEAM - DCP 1 - CHECKED & FOUND FAULT 16 APPEARED ON VSD CONTROLLER. TRY RESET VSD BUT FAILED.
                                  REMOVED OUTGOING CABLES FROM VSD AND FAULT RESET OK. TEST RUNNING VSD WITH FREE LOAD ON LOCAL MODE OK.
                                  CONFIRMED HVSD IN GOOD CONDITION. MEGGER OUTGOING CABLES TO MOTOR FOUND MOTOR WINDINGS SHORTED. 
                                  WILL CONTINUE TO CHECK ON MOTOR SITE BY TOMORROW.

16/01/2018 - ELECT TEAM - DCP 1 - OPEN UP MOTOR CABLE TERMINAL BOX AND FOUND WATER PONDING INSIDE AND CAUSED THE SHORT CIRCUIT ""FAULT 16"" ALARM ACTIVATED.
                                  DISCONNECT ALL CABLES, CLEAN UP TERMINAL BOX AND CLEAR THE WATER, CHECKED MOTOR WINDING RESISTANCE OK. 
                                  APPLY INSULATION TEST FOR WINDINGS TO GROUND OK, CABLES TO GROUND OK. CONNECT BACK ALL CABLES AND REQUEST OPERATION TO TEST RUNNING MOTOR OK.
                                  SUSPECTED WATER LEAKING INTO CABLE BOX THROUGH THE HEATER BOX, APPLY SILICONE TO SEAL UP THE GAP. DONE."
3321,DCP-2  ICA - 6  ABNORMAL SOUND,MECH,"12/01/2018...TEAM AZ...DCP 2 / ICA 6 ABNORMAL SOUNG WHEN IT-6 DISCHARGING. FOUND OUT BY ANTHONY LIEM.
                       HE REQUEST TO PUT OUT OF SERVICE AND FOLLOW UP MONDAY.
                       INFORMED TO SL AND ICA 6 TO PUT OUT OF SERVICE.

19/01/2018 - MECHANICAL TEAM : CHECK THE ABOVE MENTION ICA FOUND OIL LEAKING FROM SIGHT GLASS AND DISCHARGE PIPE CONNECTION BOLT LOOSEN.
                               NO OIL FOUND AT CRAW CHAMBER.

20/01/2018 - MECHANICAL TEAM : RESEAL THE OIL SIGHT GLASS CLEAN THE CRAW CHAMBER. REPLACED WITH NEW AIR BLOWER OIL AND COUPLING ELEMENT.
                               THEREAFTER, TEST RUN ICA 6 AND HANDOVER TO OPEARTION."
3322,DCP-1 NW TANK-1 (LT-251-A) RECEIVED INTERMITTENT HH LEVEL  ALARM ON DCIS,I&C,"15/01/2018 - TEAM AZAM - DCP-1 NEWATER MAKEUP TANK-1 (LT-251-A) RECEIVED INTERMITTENT HH LEVEL  ALARM ON DCIS

                         ACTION TAKEN - CHECK ON  SITE NO ABNORMALITY . NO WATER OVER FLLOW AND WATER TANK LEVEL IS OK .   

15/01/2018 - MMK/AZMIL CHECK ON SITE AND FOUND THAT LT-251A WIRING IS WET.THEN WE DISCONNECT WIRE & CLEAN WATER AND DUST. AFTER THAT 
                       REWIRING NOW BACK NORMAL OPERATION."
3323,DCP1- SUMP PUMP REPLACEMENT WORK,FACILITY,"12/12/2017- Electrotech contractor preparing work for dismantle of pump. 

13/12/2017- Removing of cable, bolts, and flange pipe. Removing old pump.

14/12/2017- Removed 1nos sump pump. Old pump brought to Electrotech workshop.

15/12/2017- Temporary portable pump 1nos provided by Electrotech inside pit. Work stop till new pump arrived to be replace.

05/02/2018- New sump pump arrived. pump brought over to SDC. Contractor prepare work for installing. Spare sump pump in warehouse plus stainless flange.

06/02/2018- 2 nos sump pump installed.

07/02/2018- connection of sensing wire. Found out new sensing wire is short. Contractor bring back the short wire. 

08/02/2018- New wire for sensing device. Wire termination fix back to panel. Test run motor. Both sump pump back to normal after testing. 
            Installation of sump pump complete.

08/02/2018- New longer sensing wire is installed for both pump.
            Hand over back to Operation Team at Plant 1 (Michael)"
3324,DCP-2 CONDENSATE WATER DROP TO TRANSFORMER NO.8,ELEC,"15/01/2018...TEAM AZ....CONDENSATE WATER DROP TO TRANSFORMER NO.8 AT DCP2.
                        INFORMED TO SL AND OPERATION GROUP.

17/01/2018 - MECHANICAL TEAM CHECK FOUND THE CONDENSATION COME FROM ACMV SUPPLY AIR GRILL. THE ACMV UNIT 8,9 & 10 SERVE BOTH TRANSFORMER AREA AND BATTERY ROOM.
             ALL ROOM THERMOSTAT IS LOCATED AT BATTERY ROOM AN SET AT 18 DEG FOR BOTH UNIT 8 & 9 AND UNIT 10 SET AT 21 DEG. LAST WEEK OUTDOOR AMBIENT TEMPERATURE IS LOW.
             AS A RESULT, THE ROOM TEMPERATURE AT TRANSFORMER AREA MAY HAD FALL BELOW ROOM THERMOSTAT SET POINT. THAT MAY HAD CAUSE CONDENSATION ON THE SUPPLY AIR GRILL. 
             OPERATION PLEASE KEEP A LOOK OUT ON TRANSFORMER AREA FOR CONDENSATION  AND MAY WANT TO CONSIDER TO RESET ROOM THERMOSTAT SETTING IF OUTDOOR AMBIENT TEMPERATURE FALL TO LOW."
3325,DCP-1 DSP-6 MV VSD Drive Choke,ELEC,"
19/01/18 OPS TEAM  DCS FAULT ALARM "" DSP-6 DRIVE CHOKE"".
                   OPEARTORS WENT ON SITE TO VERIFY SITUATION ON DSP-6."
3326,DCP2 - EAF_DMP_A7  DCIS  SHOW INCORRECT OPEN/CLOSE STATUS,I&C,"25/01/2018 SB - DCP2 - EAF_DMP_A7  DCIS  SHOW INCORRECT OPEN/CLOSE STATUS ( EAF REFRIG DAMPER A7 )

08/02/2018 I&C WE FOUND  DCIS GRAPHIC WAS WRONG ,AFTER WE CHANGE THE GRAPHIC NOW FIELD AND DCIS BOTH SAME.HAND OVER TO OPERATION."
3327,DCP-2 FCU B2M BOOSTER FAN UNIT 1 & 2 ELECTRICAL TRIP,FACILITY,"26/01/2018.....TEAM TKL....P2/6.6KV ROOM VERY WARM DUE TO BOOSTER ELECTRICAL TRIP.

26/01/2018.....KEVIN KOO...TROUBLESHOOT THE FANS. BF-2 STILL SHORT CIRCUIT. MANAGED TO RUN BF-1 IN MAN. BF-2 PUT TO OOS...

                           PLEASE MONITOR ROOM TEMPERATURE DURING NIGHT AND OVER THE WEEKEND. 
                           ELECTRICAL TEAM WILL FOLLOW UP MONDAY.

29/01/2018 - ELECT TEAM - DCP 2 - CONTINUE TO CHECK THE BF-2 SHORTED CIRCUIT ISSUE. FOUND ""BROWN"" PHASE CABLE CAUSED THE SHORT CIRCUIT TRIPPING.
                                  FIX THE CABLE AND CHECKED ALL THE TERMINATIONS TIGHTENING. NORMALIZED BF-2 MCB AND TEST RUNNING OK.
                                  MONITOR BF-2 RUN FOR 15 MINS AND CLAMP RUNNING AMPS, BROWN-9.1A, BLACK-9.0A & GREY-8.9A. CONFIRMED WITH OPS OK."
